title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,rating,genre,language,director,producer,writer,theater_release,streaming_release,gross_usa,runtime,production_co,crew,link
The Treasure of the Sierra Madre,1948,"In this classic adventure film, two rough-and-tumble wanderers, Dobbs (Humphrey Bogart) and Curtin (Tim Holt), meet up with a veteran prospector, Howard (Walter Huston), in Mexico and head into the Sierra Madre mountains to find gold. Although they discover treasure, they also find plenty of trouble, not only from ruthless bandits lurking in the dangerous Mexican wilderness but from their own insecurities and greed, which threaten to bring conflict at any moment.",100,93,"Remade but never duplicated, this darkly humorous morality tale represents John Huston at his finest.",51,"25,000+",unknown,"western, adventure, drama",English,John Huston,Henry Blanke,unknown,,2015-05-08,,124,Warner Brothers,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, John Huston, Jack L. Warner, Henry Blanke, Buddy Kaye, Ted D. McCord, Owen Marks, Richard Maybery, B. Traven",http://www.rottentomatoes.com/m/treasure_of_the_sierra_madre
Blade Runner 2049,2017,"Officer K (Ryan Gosling), a new blade runner for the Los Angeles Police Department, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. His discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former blade runner who's been missing for 30 years.",88,81,"Visually stunning and narratively satisfying, Blade Runner 2049 deepens and expands its predecessor's story while standing as an impressive filmmaking achievement in its own right.",439,"50,000+",R,"mystery and thriller, sci fi",English,Denis Villeneuve,"Andrew A. Kosove, Broderick Johnson, Bud Yorkin, Cynthia Sikes Yorkin","Hampton Fancher, Michael Green",2017-10-06,2017-12-26,91500000,164,"Torridon Films, Alcon Entertainment, Bud Yorkin Productions, Scott Free Productions, 16:14 Entertainment","Ryan Gosling, Harrison Ford, Ana de Armas, Sylvia Hoeks, Robin Wright, Jared Leto, Mackenzie Davis, Carla Juri, Lennie James, Dave Bautista, Denis Villeneuve, Hampton Fancher, Michael Green, Andrew A. Kosove, Broderick Johnson, Bud Yorkin, Cynthia Sikes Yorkin, Ridley Scott, Bill Carraro, Tim Gamble",http://www.rottentomatoes.com/m/blade_runner_2049
The 39 Steps,1935,"While on vacation in London, Canadian Richard Hannay (Robert Donat) becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith (Lucie Mannheim), who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan (Godfrey Tearle) from sending secrets out of the country. Hannay is assisted by Pamela (Madeleine Carroll), an unwilling accomplice who discovers the truth.",96,86,"Packed with twists and turns, this essential early Alfred Hitchcock feature hints at the dazzling heights he'd reach later in his career.",52,"10,000+",unknown,mystery and thriller,English,Alfred Hitchcock,"Michael Balcon, Ivor Montagu","John Buchan, Charles Bennett, Ian Hay",,2017-01-12,,80,Gaumont British Picture Corporation Ltd.,"Robert Donat, Madeleine Carroll, Godfrey Tearle, Lucie Mannheim, Peggy Ashcroft, Wylie Watson, John Laurie, Helen Haye, Alfred Hitchcock, Charles Bennett, Michael Balcon, Ivor Montagu, Jack Beaver, Bernard Knowles, D. N. Twist",http://www.rottentomatoes.com/m/1000121-39_steps
Captain America: Civil War,2016,"Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The new status quo deeply divides members of the team. Captain America (Chris Evans) believes superheroes should remain free to defend humanity without government interference. Iron Man (Robert Downey Jr.) sharply disagrees and supports oversight. As the debate escalates into an all-out feud, Black Widow (Scarlett Johansson) and Hawkeye (Jeremy Renner) must pick a side.",90,89,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,419,"100,000+",PG-13,"adventure, fantasy, action",English,"Anthony Russo, Joe Russo",Kevin Feige,"Christopher Markus, Stephen McFeely",2016-05-06,2016-09-02,408100000,146,Marvel Studios,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Russo, Joe Russo, Christopher Markus, Stephen McFeely, Kevin Feige, Louis D'Esposito, Victoria Alonso, Patricia Whitcher, Nate Moore, Stan Lee",http://www.rottentomatoes.com/m/captain_america_civil_war
The Jungle Book,2016,"Raised by a family of wolves since birth, Mowgli (Neel Sethi) must leave the only home he's ever known when the fearsome tiger Shere Khan (Idris Elba) unleashes his mighty roar. Guided by a no-nonsense panther (Ben Kingsley) and a free-spirited bear (Bill Murray), the young boy meets an array of jungle animals, including a slithery python and a smooth-talking ape. Along the way, Mowgli learns valuable life lessons as his epic journey of self-discovery leads to fun and adventure.",94,86,"As lovely to behold as it is engrossing to watch, The Jungle Book is the rare remake that actually improves upon its predecessors -- all while setting a new standard for CGI.",325,"50,000+",PG,"kids and family, action, adventure, fantasy",English,Jon Favreau,"Jon Favreau, Brigham Taylor",Justin Marks,2016-04-15,2016-08-23,364000000,105,Fairview Entertainment,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito, Christopher Walken, Garry Shandling, Jon Favreau, Justin Marks, Jon Favreau, Brigham Taylor, Peter Tobyansen, Molly Allen, Karen Gilchrist, Bill Pope, Mark Livolsi, John Debney",http://www.rottentomatoes.com/m/the_jungle_book_2016
Harry Potter and the Deathly Hallows: Part 2,2011,"A clash between good and evil awaits as young Harry (Daniel Radcliffe), Ron (Rupert Grint) and Hermione (Emma Watson) prepare for a final battle against Lord Voldemort (Ralph Fiennes). Harry has grown into a steely lad on a mission to rid the world of evil. The friends must search for the Horcruxes that keep the dastardly wizard immortal. Harry and Voldemort meet at Hogwarts Castle for an epic showdown where the forces of darkness may finally meet their match.",96,89,"Thrilling, powerfully acted, and visually dazzling, Deathly Hallows Part II brings the Harry Potter franchise to a satisfying -- and suitably magical -- conclusion.",331,"250,000+",PG-13,"fantasy, adventure",English,David Yates,"David Heyman, David Barron, J.K. Rowling",Steve Kloves,2011-07-15,2014-07-24,381000000,131,"Warner Bros., Moving Picture Company, Heyday Films","Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes, Alan Rickman, Robbie Coltrane, Helena Bonham Carter, Jim Broadbent, Gary Oldman, Maggie Smith, Steve Kloves, David Heyman, David Barron, J.K. Rowling, Lionel Wigram, Eduardo Serra, Alexandre Desplat",http://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2_2011
Skyfall,2012,"When James Bond's (Daniel Craig) latest assignment goes terribly wrong, it leads to a calamitous turn of events: Undercover agents around the world are exposed, and MI6 is attacked, forcing M (Judi Dench) to relocate the agency. With MI6 now compromised inside and out, M turns to the one man she can trust: Bond. Aided only by a field agent (Naomie Harris), Bond takes to the shadows and follows a trail to Silva (Javier Bardem), a man from M's past who wants to settle an old score.",92,86,"Sam Mendes brings Bond surging back with a smart, sexy, riveting action thriller that qualifies as one of the best 007 films to date.",379,"250,000+",PG-13,"mystery and thriller, adventure, action",English,Sam Mendes,"Michael G. Wilson, Barbara Broccoli","Neal Purvis, Robert Wade, John Logan",2012-11-09,2017-02-04,304400000,143,Eon Productions Ltd.,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris, Ben Whishaw, Albert Finney, Rory Kinnear, Ola Rapace, Sam Mendes, Neal Purvis, Robert Wade, John Logan, Michael G. Wilson, Barbara Broccoli, Callum McDougall, Roger Deakins, Dennis Gassner, Stuart Baird",http://www.rottentomatoes.com/m/skyfall
Lawrence of Arabia,1962,"Due to his knowledge of the native Bedouin tribes, British Lieutenant T.E. Lawrence (Peter O'Toole) is sent to Arabia to find Prince Faisal (Alec Guinness) and serve as a liaison between the Arabs and the British in their fight against the Turks. With the aid of native Sherif Ali (Omar Sharif), Lawrence rebels against the orders of his superior officer and strikes out on a daring camel journey across the harsh desert to attack a well-guarded Turkish port.",97,93,"The epic of all epics, Lawrence of Arabia cements director David Lean's status in the filmmaking pantheon with nearly four hours of grand scope, brilliant performances, and beautiful cinematography.",91,"50,000+",PG,"drama, history, adventure, biography",English,David Lean,"Robert A. Harris, Sam Spiegel","Robert Bolt, Michael Wilson",,2013-04-02,6000000,216,Horizon Films,"Peter O'Toole, Alec Guinness, Anthony Quinn, Omar Sharif, Jack Hawkins, Jose Ferrer, Claude Rains, Anthony Quayle, Arthur Kennedy, Donald Wolfit, David Lean, Robert Bolt, Michael Wilson, Robert A. Harris, Sam Spiegel, Maurice Jarre, F.A. Young, Anne V. Coates, Maude Spector, John Box",http://www.rottentomatoes.com/m/lawrence_of_arabia
Mission: Impossible Rogue Nation,2015,"With the IMF now disbanded and Ethan Hunt (Tom Cruise) out in the cold, a new threat -- called the Syndicate -- soon emerges. The Syndicate is a network of highly skilled operatives who are dedicated to establishing a new world order via an escalating series of terrorist attacks. Faced with what may be the most impossible mission yet, Ethan gathers his team and joins forces with Ilsa Faust (Rebecca Ferguson), a disavowed British agent who may or may not be a member of this deadly rogue nation.",94,87,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,325,"50,000+",PG-13,"action, mystery and thriller, adventure",English,Christopher McQuarrie,"Tom Cruise, J.J. Abrams, Bryan Burk, David Ellison, Dana Goldberg, Don Granger",Christopher McQuarrie,2015-07-31,2016-06-01,,131,"Tom Cruise, Paramount Pictures, Skydance Productions, Bad Robot","Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson, Ving Rhames, Sean Harris, Alec Baldwin, Simon McBurney, Zhang Jingchu, Christopher McQuarrie, Tom Cruise, J.J. Abrams, Bryan Burk, David Ellison, Dana Goldberg, Don Granger, Christopher McQuarrie, Jake Myers, Joe Kraemer",http://www.rottentomatoes.com/m/mission_impossible_rogue_nation
Apocalypse Now,1979,"In Vietnam in 1970, Captain Willard (Martin Sheen) takes a perilous and increasingly hallucinatory journey upriver to find and terminate Colonel Kurtz (Marlon Brando), a once-promising officer who has reportedly gone completely mad. In the company of a Navy patrol boat filled with street-smart kids, a surfing-obsessed Air Cavalry officer (Robert Duvall), and a crazed freelance photographer (Dennis Hopper), Willard travels further and further into the heart of darkness.",98,94,"Francis Ford Coppola's haunting, hallucinatory Vietnam War epic is cinema at its most audacious and visionary.",96,"250,000+",R,"drama, war",English,Francis Ford Coppola,"Kim Aubry, Francis Ford Coppola","Joseph Conrad, John Milius, Francis Ford Coppola, Michael Herr",,2015-11-19,78800000,153,Zoetrope Studios,"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest, Albert Hall, Sam Bottoms, Larry Fishburne, Dennis Hopper, G.D. Spradlin, Harrison Ford, Francis Ford Coppola, Joseph Conrad, John Milius, Francis Ford Coppola, Michael Herr, Kim Aubry, Francis Ford Coppola, Carmine Coppola, Francis Ford Coppola, Vittorio Storaro",http://www.rottentomatoes.com/m/apocalypse_now
The Hurt Locker,2008,"Staff Sgt. William James (Jeremy Renner), Sgt. J.T. Sanborn (Anthony Mackie) and Specialist Owen Eldridge (Brian Geraghty) are members of a bomb-disposal unit in Baghdad. As their tour of duty enters its final weeks, the men face a set of increasingly hazardous situations, any of which could end their lives in an explosive instant.",97,84,"A well-acted, intensely shot, action filled war epic, Kathryn Bigelow's The Hurt Locker is thus far the best of the recent dramatizations of the Iraq War.",289,"50,000+",R,"action, mystery and thriller, drama, war",English,Kathryn Bigelow,"Kathryn Bigelow, Mark Boal, Nicolas Chartier",Mark Boal,,2015-07-22,15700000,127,"Kingsgate Films, Voltage Pictures, First Light Production","Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce, Ralph Fiennes, David Morse, Evangeline Lilly, Christian Camargo, Christopher Sayegh, Suhail Aldabbach, Kathryn Bigelow, Mark Boal, Kathryn Bigelow, Mark Boal, Nicolas Chartier, Marco Beltrami, Buck Sanders, Barry Ackroyd, Chris Innis",http://www.rottentomatoes.com/m/the_hurt_locker
The LEGO Movie,2014,"Emmet (Chris Pratt), an ordinary LEGO figurine who always follows the rules, is mistakenly identified as the Special -- an extraordinary being and the key to saving the world. He finds himself drafted into a fellowship of strangers who are on a mission to stop an evil tyrant's (Will Ferrell) plans to conquer the world. Unfortunately for Emmet, he is hopelessly -- and hilariously -- unprepared for such a task, but he'll give it his all nonetheless.",96,87,"Boasting beautiful animation, a charming voice cast, laugh-a-minute gags, and a surprisingly thoughtful story, The Lego Movie is colorful fun for all ages.",254,"100,000+",PG,"kids and family, comedy, adventure, animation",English,"Phil Lord, Christopher Miller","Dan Lin, Roy Lee","Phil Lord, Christopher Miller",2014-02-07,2015-10-31,257800000,95,"LEGO System A/S, Lin Pictures, Vertigo","Chris Pratt, Will Ferrell, Morgan Freeman, Elizabeth Banks, Will Arnett, Nick Offerman, Alison Brie, Charlie Day, Liam Neeson, Keith Ferguson, Phil Lord, Christopher Miller, Phil Lord, Christopher Miller, Dan Lin, Roy Lee, Jill Wilfert, Matthew Ashton, Kathleen Fleming, Allison Abbate",http://www.rottentomatoes.com/m/the_lego_movie
